,Fishing,TugTow,Recreational,Passenger,Cargo,Tanker,Other,Unavailable
2018/05/18,10,41,158,64,32,15,22,13
2018/05/19,10,35,189,60,33,12,15,13
2018/05/20,10,31,199,57,35,14,15,11
2018/05/21,10,34,145,59,31,17,17,12
2018/05/22,8,40,144,62,30,16,15,14
2018/05/23,11,42,147,63,29,21,17,9
2018/05/24,15,45,156,66,29,24,19,12
2018/05/25,11,39,189,62,26,21,19,15
2018/05/26,11,34,227,68,20,18,16,10
2018/05/27,10,34,228,64,25,14,15,12
2018/05/28,12,36,253,53,27,15,12,8
2018/05/29,13,42,166,56,26,13,15,11
2018/05/30,9,41,142,55,29,16,18,10
2018/05/31,8,39,141,63,29,14,21,9
2018/06/01,9,42,165,66,34,14,23,10
2018/06/02,9,40,212,70,26,14,19,7
2018/06/03,7,36,221,59,32,14,17,7
2018/06/04,8,41,156,66,35,11,22,7
2018/06/05,8,46,145,62,36,14,21,12
2018/06/06,7,46,152,66,36,15,23,14
2018/06/07,7,45,150,68,37,17,26,9
2018/06/08,8,41,160,69,38,18,19,9
2018/06/09,8,42,182,71,35,19,19,10
2018/06/10,7,40,185,57,35,17,17,7
2018/06/11,6,39,155,59,33,13,24,11
2018/06/12,7,42,142,59,31,13,23,13
2018/06/13,6,48,149,61,29,11,20,11
2018/06/14,8,46,145,68,27,12,21,12
2018/06/15,10,37,166,74,28,14,16,15
2018/06/16,11,39,199,69,29,16,17,14
2018/06/17,15,37,200,55,30,15,16,16
2018/06/18,15,39,162,60,32,20,21,21
2018/06/19,13,41,160,57,29,19,26,16
2018/06/20,8,39,164,57,33,20,17,11
2018/06/21,10,43,161,67,32,19,23,14
2018/06/22,10,45,176,65,31,20,22,10
2018/06/23,11,42,246,69,30,18,16,16
2018/06/24,11,40,257,60,27,13,12,14
2018/06/25,10,42,174,62,30,11,17,19
2018/06/26,12,43,167,58,30,10,22,13
2018/06/27,11,43,152,56,35,10,19,13
2018/06/28,10,40,152,65,34,12,22,20
2018/06/29,9,42,159,66,33,11,17,13
2018/06/30,10,35,205,68,30,12,17,10
2018/07/01,13,34,201,49,25,12,17,11
2018/07/02,11,37,174,56,30,13,20,15
2018/07/03,8,47,184,58,31,14,17,13
2018/07/04,9,44,192,67,28,14,14,10
2018/07/05,11,45,215,78,31,17,15,15
2018/07/06,10,42,195,63,27,17,17,15
2018/07/07,9,39,211,66,27,15,17,13
2018/07/08,9,34,230,54,30,15,18,11
2018/07/09,10,38,190,61,31,14,20,11
2018/07/10,9,43,175,59,31,15,20,10
2018/07/11,10,39,171,59,38,16,26,11
2018/07/12,13,45,172,59,32,14,23,9
2018/07/13,14,45,175,62,30,16,20,10
2018/07/14,15,40,209,70,33,17,18,7
2018/07/15,14,38,193,61,33,18,22,12
2018/07/16,12,46,175,61,33,16,24,12
2018/07/17,14,44,154,56,27,14,21,10
2018/07/18,18,43,160,57,33,15,23,10
2018/07/19,11,48,148,60,31,15,21,12
2018/07/20,9,49,176,66,33,17,19,14
2018/07/21,12,44,208,65,32,15,17,13
2018/07/22,16,41,225,58,29,15,15,9
2018/07/23,19,43,165,61,28,14,21,8
2018/07/24,11,41,155,55,29,13,18,11
2018/07/25,11,40,165,60,34,14,17,11
2018/07/26,13,44,162,62,33,13,17,10
2018/07/27,13,45,171,62,31,14,18,10
2018/07/28,13,44,191,64,32,13,12,10
2018/07/29,17,41,202,52,33,16,10,9
2018/07/30,18,43,178,57,39,15,17,11
2018/07/31,10,45,140,54,35,14,18,11
2018/08/01,9,43,141,62,30,14,16,12
2018/08/02,9,47,147,64,28,14,21,10
2018/08/03,11,42,178,68,28,14,21,9
2018/08/04,7,43,207,62,24,13,16,11
2018/08/05,11,42,200,58,25,12,20,10
2018/08/06,12,44,169,59,27,13,22,9
2018/08/07,9,44,147,58,29,15,21,13
2018/08/08,10,46,162,57,29,16,16,9
2018/08/09,17,41,161,61,30,19,23,10
2018/08/10,17,44,181,63,25,16,17,10
2018/08/11,12,42,198,65,22,12,14,12
2018/08/12,13,40,209,54,23,13,12,14
2018/08/13,9,49,170,59,32,14,16,14
2018/08/14,9,46,157,61,33,16,17,19
2018/08/15,12,43,154,64,39,13,14,17
2018/08/16,10,44,162,63,37,11,13,17
2018/08/17,13,44,183,59,30,10,18,22
2018/08/18,13,40,219,65,31,9,19,11
2018/08/19,12,41,216,52,30,9,14,11
2018/08/20,10,47,170,59,31,14,15,12
2018/08/21,11,49,148,56,31,15,17,25
2018/08/22,9,45,173,58,32,12,23,22
2018/08/23,11,42,156,60,33,13,18,23
2018/08/24,13,43,183,63,34,16,20,15
2018/08/25,11,40,213,65,36,16,14,14
2018/08/26,14,37,217,61,34,17,13,12
2018/08/27,16,45,165,62,36,19,20,17
2018/08/28,12,41,161,55,31,12,20,21
2018/08/29,16,45,169,56,31,12,20,19
2018/08/30,12,47,189,62,32,13,19,11
2018/08/31,9,50,208,65,39,12,17,14
2018/09/01,12,44,246,60,35,9,17,13
2018/09/02,15,37,246,58,31,11,14,16
2018/09/03,14,34,261,57,25,10,15,12
2018/09/04,14,40,185,56,29,13,21,13
2018/09/05,15,44,173,54,31,11,24,14
2018/09/06,11,41,180,58,26,12,25,17
2018/09/07,14,40,176,61,24,12,30,17
2018/09/08,9,41,204,61,28,7,20,17
2018/09/09,10,39,207,52,31,8,18,16
2018/09/10,9,42,189,62,31,6,22,15
2018/09/11,12,42,173,54,29,8,24,16
2018/09/12,8,45,171,58,32,9,25,20
2018/09/13,10,44,192,64,32,11,26,25
2018/09/14,15,48,216,67,27,11,24,17
2018/09/15,13,42,231,61,31,11,19,15
2018/09/16,11,45,233,55,32,13,17,21
2018/09/17,14,53,206,61,35,15,25,22
2018/09/18,10,52,174,55,33,11,21,24
2018/09/19,9,50,179,56,32,7,25,28
2018/09/20,11,42,194,61,29,8,20,29
2018/09/21,12,42,211,62,31,9,17,27
2018/09/22,16,43,251,72,32,9,19,25
2018/09/23,11,41,247,55,31,7,19,25
2018/09/24,13,47,191,60,31,7,29,27
2018/09/25,15,53,169,57,34,6,29,23
2018/09/26,12,49,177,57,35,6,25,26
2018/09/27,12,47,169,68,29,9,26,25
2018/09/28,12,48,178,62,23,11,27,28
2018/09/29,12,46,226,67,23,11,21,25
2018/09/30,10,44,220,59,21,11,22,28
2018/10/01,12,48,177,64,30,8,34,25
2018/10/02,9,49,165,54,31,12,28,25
2018/10/03,8,51,170,56,31,12,32,19
2018/10/04,9,52,181,64,30,11,40,28
2018/10/05,7,56,225,71,33,14,41,33
2018/10/06,6,49,247,71,29,16,38,32
2018/10/07,5,48,250,71,28,14,34,30
2018/10/08,6,54,206,69,29,12,40,31
2018/10/09,9,54,168,56,31,9,36,27
2018/10/10,9,50,180,58,32,12,30,27
2018/10/11,9,51,176,62,36,13,32,28
2018/10/12,11,52,194,65,31,13,32,26
2018/10/13,10,48,223,64,28,11,24,24
2018/10/14,10,47,225,55,26,11,23,29
2018/10/15,8,49,180,59,25,13,29,34
2018/10/16,8,50,178,57,32,12,25,33
2018/10/17,13,49,157,59,30,13,30,27
2018/10/18,10,43,163,65,27,15,30,25
2018/10/19,7,46,177,64,27,16,29,26
2018/10/20,11,42,218,71,30,17,24,24
2018/10/21,7,43,217,57,31,16,18,21
2018/10/22,8,49,179,63,34,16,25,25
2018/10/23,8,48,158,61,33,13,31,23
2018/10/24,10,50,154,65,29,14,33,22
2018/10/25,11,46,147,70,31,10,32,26
2018/10/26,9,44,166,71,31,11,27,28
