index,Total,Fishing,TugTow,Recreational,Passenger,Cargo,Tanker,Other,Unavailable
2018-03-15,290.0,10.0,38.0,118.0,55.0,28.0,14.0,19.0,8.0
2018-03-16,318.0,13.0,40.0,134.0,56.0,32.0,17.0,13.0,13.0
2018-03-17,348.0,15.0,38.0,166.0,56.0,33.0,17.0,14.0,9.0
2018-03-18,337.0,14.0,36.0,172.0,46.0,32.0,15.0,9.0,13.0
2018-03-19,312.0,15.0,40.0,132.0,60.0,29.0,13.0,13.0,10.0
2018-03-20,246.0,10.0,34.0,106.0,43.0,24.0,11.0,11.0,7.0
2018-03-21,274.0,8.0,34.0,117.0,49.0,24.0,16.0,16.0,10.0
2018-03-22,246.0,7.0,34.0,108.0,41.0,24.0,14.0,12.0,6.0
2018-03-23,273.0,7.0,37.0,121.0,50.0,21.0,16.0,13.0,8.0
2018-03-24,296.0,10.0,32.0,157.0,45.0,19.0,14.0,11.0,8.0
2018-03-25,336.0,8.0,36.0,180.0,46.0,29.0,16.0,12.0,9.0
2018-03-26,327.0,9.0,38.0,143.0,59.0,34.0,16.0,16.0,12.0
2018-03-27,321.0,9.0,40.0,136.0,61.0,30.0,14.0,16.0,15.0
2018-03-28,338.0,10.0,43.0,145.0,56.0,31.0,14.0,20.0,19.0
2018-03-29,338.0,11.0,45.0,140.0,61.0,30.0,13.0,21.0,17.0
2018-03-30,355.0,9.0,45.0,171.0,60.0,28.0,9.0,19.0,14.0
2018-03-31,372.0,10.0,42.0,185.0,62.0,33.0,9.0,14.0,17.0
2018-04-01,359.0,7.0,39.0,183.0,51.0,34.0,15.0,16.0,14.0
2018-04-02,350.0,8.0,41.0,161.0,61.0,33.0,14.0,18.0,14.0
2018-04-03,327.0,11.0,38.0,136.0,60.0,31.0,18.0,20.0,13.0
2018-04-04,325.0,8.0,41.0,135.0,61.0,30.0,19.0,21.0,10.0
2018-04-05,253.0,7.0,32.0,107.0,47.0,21.0,15.0,15.0,9.0
2018-04-06,324.0,10.0,39.0,140.0,55.0,30.0,19.0,17.0,14.0
2018-04-07,340.0,9.0,35.0,163.0,57.0,27.0,21.0,15.0,13.0
2018-04-08,367.0,7.0,35.0,193.0,56.0,29.0,21.0,17.0,9.0
2018-04-09,363.0,10.0,45.0,166.0,56.0,32.0,20.0,22.0,12.0
2018-04-10,331.0,10.0,45.0,132.0,60.0,28.0,17.0,24.0,15.0
2018-04-11,320.0,12.0,43.0,132.0,53.0,32.0,16.0,19.0,13.0
2018-04-12,329.0,10.0,44.0,131.0,57.0,32.0,21.0,22.0,12.0
2018-04-13,363.0,10.0,41.0,161.0,58.0,34.0,22.0,23.0,14.0
2018-04-14,401.0,10.0,37.0,205.0,60.0,29.0,24.0,24.0,12.0
2018-04-15,361.0,9.0,39.0,188.0,49.0,29.0,20.0,18.0,9.0
