,Fishing,TugTow,Recreational,Passenger,Cargo,Tanker,Other,Unavailable
259,9,57,279,53,31,12,34,12
25,15,38,168,25,23,6,24,30
260,8,58,296,59,33,12,29,8
261,13,52,317,62,30,12,28,13
262,12,48,327,61,25,15,27,12
263,10,52,269,60,22,16,32,11
264,11,55,257,48,23,18,30,12
265,12,52,268,51,23,13,31,14
266,13,56,286,61,23,14,32,12
267,16,57,288,61,22,13,30,14
268,13,50,321,61,21,16,28,16
269,15,48,314,52,25,14,30,14
26,14,41,170,25,22,9,26,30
270,17,56,273,52,25,15,30,18
271,19,60,246,51,23,15,28,13
272,14,58,255,55,26,21,33,14
273,16,62,284,54,29,19,32,13
274,18,59,295,62,27,19,33,16
275,13,50,327,58,26,19,21,17
276,15,48,333,54,28,20,23,13
277,18,56,270,53,27,21,37,14
278,16,57,241,56,23,20,37,15
279,14,56,236,48,23,16,36,13
27,12,37,169,24,23,11,29,34
280,10,59,261,59,27,15,42,13
281,13,56,302,69,22,15,41,15
282,15,49,374,67,19,14,38,15
283,14,53,411,60,23,12,37,17
284,10,63,303,61,23,11,30,15
285,9,55,224,45,26,11,25,14
286,13,60,209,50,22,13,25,9
287,13,57,222,54,24,12,25,10
288,13,60,268,60,29,14,24,11
289,14,49,326,57,35,12,26,14
28,16,37,145,28,27,10,27,34
290,14,47,308,50,30,13,21,12
291,12,55,240,48,30,12,29,9
292,11,51,232,44,31,16,31,13
293,12,51,209,46,26,13,34,11
294,9,53,212,56,21,12,29,10
295,10,51,230,59,22,11,30,9
296,9,51,242,57,28,13,27,10
297,7,44,221,45,27,11,27,9
298,8,52,200,43,31,16,27,8
299,11,56,207,53,27,13,29,9
29,20,36,175,25,28,10,27,36
2,14,31,214,14,28,7,20,27
300,11,58,210,55,29,13,30,7
301,12,52,227,49,28,12,24,7
302,11,54,264,55,30,14,29,9
303,9,59,263,59,26,12,31,9
304,12,47,258,52,29,11,25,12
305,10,59,216,50,24,15,33,10
306,10,59,205,47,27,15,34,11
307,12,64,213,50,26,16,29,8
308,10,64,208,53,24,16,32,12
309,10,62,225,52,22,17,31,9
30,15,33,213,25,28,9,24,30
310,13,56,252,58,26,18,27,8
311,12,53,262,51,29,12,27,8
312,10,67,228,50,34,11,29,11
313,9,67,187,49,30,10,31,5
314,12,69,208,53,31,9,31,10
315,12,59,219,50,33,9,28,9
316,10,63,230,61,34,11,30,7
317,11,60,265,57,39,12,34,9
318,12,58,276,52,38,10,32,7
319,12,64,235,48,33,10,30,9
31,11,35,223,18,30,9,19,29
320,12,65,191,46,31,12,30,14
321,11,64,199,41,27,11,29,10
322,13,60,206,51,30,10,30,8
323,12,57,211,55,31,10,29,5
324,14,54,247,52,29,11,27,4
325,14,54,277,43,29,12,24,4
326,15,57,235,49,34,10,27,11
327,13,56,207,48,32,12,26,4
328,13,52,188,48,29,11,27,8
329,12,45,186,47,28,12,21,2
32,13,38,185,25,29,10,27,39
330,14,40,221,41,24,11,26,5
331,14,45,240,44,25,9,22,6
332,12,46,251,39,23,9,22,6
333,12,56,226,49,26,11,25,10
334,13,52,202,44,28,13,28,8
335,14,54,194,50,25,14,30,11
336,14,51,185,49,23,12,28,11
337,15,48,193,51,22,13,25,12
338,15,48,222,54,21,11,23,7
339,12,46,220,49,20,10,21,8
33,16,36,156,28,29,9,23,32
340,10,55,186,48,23,9,28,9
341,12,56,179,50,23,8,27,10
342,12,54,180,50,21,7,22,9
343,10,54,168,52,22,8,23,7
344,11,55,184,51,22,11,23,6
345,14,54,231,51,25,10,28,4
346,13,54,203,43,26,9,24,3
347,9,52,171,40,31,9,26,6
348,11,57,175,43,27,10,25,5
349,11,56,159,46,27,12,24,7
34,18,36,157,26,30,8,23,38
350,11,57,173,46,25,13,19,3
351,11,56,196,51,26,12,20,11
352,12,55,224,50,28,13,20,9
353,14,52,207,46,27,11,18,8
354,10,51,177,48,27,13,25,7
355,9,42,162,44,30,13,16,6
356,10,44,155,43,30,10,16,6
357,10,44,159,43,27,14,13,9
358,12,39,165,43,30,12,16,6
359,15,35,151,35,25,14,16,2
35,19,35,169,29,32,8,23,41
360,24,41,157,38,22,14,16,7
361,24,44,163,45,27,11,22,5
362,19,47,174,41,28,12,16,4
363,23,44,174,46,35,14,19,7
364,21,47,202,42,35,15,16,6
365,17,39,220,43,29,18,19,7
36,15,36,192,26,29,7,24,42
37,17,35,258,28,28,6,25,36
38,13,28,203,17,29,5,19,34
39,10,37,170,27,32,4,23,41
3,13,35,193,14,27,6,19,26
40,13,37,173,29,33,5,28,39
41,15,34,172,24,30,5,25,40
42,16,40,171,28,30,6,26,32
43,10,42,180,30,28,8,26,33
44,7,39,211,26,34,9,24,34
45,7,34,214,20,31,9,21,32
46,7,32,206,23,31,9,22,28
47,8,37,181,26,29,10,26,35
48,11,37,173,29,28,10,29,34
49,14,42,165,33,31,8,29,43
4,13,39,169,22,25,7,20,27
50,12,41,182,36,34,12,25,39
51,12,33,225,25,36,12,29,31
52,11,27,275,21,39,8,25,30
53,12,38,209,26,42,8,25,35
54,12,46,184,26,42,7,26,42
55,10,40,171,28,38,7,27,46
56,11,44,173,30,34,8,27,44
57,11,46,203,33,33,7,26,41
58,11,35,239,29,38,5,28,41
59,13,37,276,25,37,4,23,40
5,16,35,165,22,26,10,21,32
60,16,42,208,34,36,4,24,51
61,19,38,172,29,39,6,29,53
62,12,40,164,30,37,7,25,44
63,8,43,158,27,34,7,27,40
64,8,37,182,35,33,7,25,37
65,10,38,242,31,33,6,22,35
66,12,39,246,26,30,8,22,31
67,9,39,199,35,31,8,25,38
68,11,40,172,28,29,8,26,37
69,9,41,166,29,30,6,31,38
6,13,38,155,22,32,10,27,29
70,9,39,183,26,29,7,29,32
71,9,37,203,31,31,9,26,34
72,10,35,247,29,31,6,24,36
73,9,34,228,24,36,6,20,36
74,9,40,180,30,35,6,26,37
75,13,40,180,32,39,6,26,38
76,16,40,179,35,38,4,25,52
77,14,41,171,34,40,4,21,49
78,16,40,201,35,35,4,22,39
79,13,38,239,31,36,6,24,41
7,12,38,161,25,29,11,26,33
80,10,33,264,22,29,7,21,33
81,11,40,197,35,25,6,23,38
82,8,37,183,29,32,8,29,36
83,11,36,179,32,30,9,24,40
84,12,36,183,36,24,7,19,39
85,14,42,222,35,27,8,20,49
86,16,30,277,38,29,9,25,43
87,20,28,287,32,32,5,20,40
88,14,42,208,45,44,7,27,5
89,16,45,186,38,42,6,29,4
